"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"SEC-HAZ-010","T-36","MQTT broker (mosquitto)","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through MQTT broker (mosquitto) can be blocked, delayed or flooded","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-011","T-37","MQTT broker (mosquitto)","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at MQTT broker (mosquitto) is not reliable evidence","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-012","T-38","MQTT broker (mosquitto)","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at MQTT broker (mosquitto) can be altered or substituted","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-013","T-39","MQTT broker (mosquitto)","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from MQTT broker (mosquitto) may be unavailable when a decision has to be made","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","Treatment is delayed, or a decision is made without information that was available yesterday.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-014","T-49","BLE advertiser (runs as root)","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at BLE advertiser (runs as root) can be altered or substituted","Broadcasts patient-linked data over the air. Confidentiality only here, but the process runs as root, so its compromise is a host compromise (CWE-250).","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Minor — temporary injury, no professional intervention","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","Payload is XOR'd rather than sent in the clear. But the key IS the device serial (low-entropy, static) which leaks from HL7 MSH-3 and cgm.conf -> trivially reversible. Obfuscation, not encryption. Service unit runs as root.","SEC-HAZ-007","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-015","T-50","BLE advertiser (runs as root)","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from BLE advertiser (runs as root) may be unavailable when a decision has to be made","Broadcasts patient-linked data over the air. Confidentiality only here, but the process runs as root, so its compromise is a host compromise (CWE-250).","Treatment is delayed, or a decision is made without information that was available yesterday.","Minor — temporary injury, no professional intervention","Class B — non-serious injury possible","HIGH","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","Payload is XOR'd rather than sent in the clear. But the key IS the device serial (low-entropy, static) which leaks from HL7 MSH-3 and cgm.conf -> trivially reversible. Obfuscation, not encryption. Service unit runs as root.","SEC-HAZ-007","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-016","T-57","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Bedside kiosk (Chromium / matchbox on DSI panel) can be tampered with","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-017","T-58","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Bedside kiosk (Chromium / matchbox on DSI panel) can be blocked, delayed or flooded","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-018","T-59","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by Bedside kiosk (Chromium / matchbox on DSI panel) cannot be shown to be genuine","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-019","T-60","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at Bedside kiosk (Chromium / matchbox on DSI panel) is not reliable evidence","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Serious — injury needing professional intervention","Class B — non-serious injury possible","HIGH","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-020","T-61","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at Bedside kiosk (Chromium / matchbox on DSI panel) can be altered or substituted","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-021","T-62","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from Bedside kiosk (Chromium / matchbox on DSI panel) may be unavailable when a decision has to be made","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-022","T-63","Bedside kiosk (Chromium / matchbox on DSI panel)","Process","Needed for timely care delivery","D","Denial of service","Loss of Bedside kiosk (Chromium / matchbox on DSI panel) delays or prevents care","The bedside display is a clinician's at-a-glance view of glucose and alarms; if it is unlocked, frozen or shows the wrong patient, a low can be missed at the bedside.","Treatment is delayed or diverted; in a time-critical pathway that delay is itself the harm.","Serious — injury needing professional intervention","Class B — non-serious injury possible","HIGH","","","Agree the maximum tolerable downtime with the clinical service and design to it. | Provide a documented, rehearsed manual fallback that does not depend on the compromised system. | Segment the device network so an outage elsewhere in the hospital cannot take clinical care down with it.","PIN check is server-side now (not in the page source). But /kiosk/unlock has no rate limit, lockout or delay -> all 10,000 four-digit PINs in seconds, and it returns the flag with no session.","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-023","T-94","Glucose telemetry (MQTT glucose/#, retained)","Data store","Produces clinical data used for decisions","T","Tampering","Clinical data at Glucose telemetry (MQTT glucose/#, retained) can be altered or substituted","The reading and alarm state a clinician or automated-delivery loop consumes. If it can be written with no integrity control, a fabricated 'in range' value hides a real low.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-001, RC-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-024","T-95","Glucose telemetry (MQTT glucose/#, retained)","Data store","Produces clinical data used for decisions","D","Denial of service","Clinical data from Glucose telemetry (MQTT glucose/#, retained) may be unavailable when a decision has to be made","The reading and alarm state a clinician or automated-delivery loop consumes. If it can be written with no integrity control, a fabricated 'in range' value hides a real low.","Treatment is delayed, or a decision is made without information that was available yesterday.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-001, RC-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-025","T-96","Glucose telemetry (MQTT glucose/#, retained)","Data store","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Glucose telemetry (MQTT glucose/#, retained) can be tampered with","The reading and alarm state a clinician or automated-delivery loop consumes. If it can be written with no integrity control, a fabricated 'in range' value hides a real low.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-001, RC-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-026","T-97","Glucose telemetry (MQTT glucose/#, retained)","Data store","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Glucose telemetry (MQTT glucose/#, retained) can be blocked, delayed or flooded","The reading and alarm state a clinician or automated-delivery loop consumes. If it can be written with no integrity control, a fabricated 'in range' value hides a real low.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-001, RC-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-027","T-98","Glucose telemetry (MQTT glucose/#, retained)","Data store","Generates, carries or displays alarms","R","Repudiation","Alarm history at Glucose telemetry (MQTT glucose/#, retained) is not reliable evidence","The reading and alarm state a clinician or automated-delivery loop consumes. If it can be written with no integrity control, a fabricated 'in range' value hides a real low.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","","SEC-HAZ-001, RC-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"","","CGM sensor + BLE gateway","Entity","Produces clinical data used for decisions; Generates, carries or displays alarms","","","No security threat raised by the model","Source of truth for glucose and alarms; the value a forged reading has to be told apart from.","","Critical — permanent impairment or life-threatening injury","not set","","","","","","SEC-HAZ-001","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"","","Hypo / hyper alarm path","Asset","Generates, carries or displays alarms; Controls or actuates therapy / diagnosis","","","No security threat raised by the model","If a real hypoglycaemia alarm is suppressed (by a forged reading or a frozen display), the last warning before harm is gone.","","Critical — permanent impairment or life-threatening injury","not set","","","","","","SEC-HAZ-001, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
