"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"SEC-HAZ-011","T-30","Alarm manager","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by Alarm manager cannot be shown to be genuine","Occlusion, air-in-line and infusion-complete alarms. A suppressed alarm means deterioration goes unnoticed; injected false alarms cause alarm fatigue on the ward.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","","HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-012","T-31","Alarm manager","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at Alarm manager is not reliable evidence","Occlusion, air-in-line and infusion-complete alarms. A suppressed alarm means deterioration goes unnoticed; injected false alarms cause alarm fatigue on the ward.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","","HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-013","T-37","Drug library (on device)","Data store","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Drug library (on device) can be modified","The limits the interlock enforces. Tampering here silently widens what the pump will accept as a legitimate dose.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","RC-012","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"","","Nurse (bedside)","Entity","Controls or actuates therapy / diagnosis; Needed for timely care delivery","","","No security threat raised by the model","Use error and spoofed identity both end in a wrong programme reaching the pump.","","Serious — injury needing professional intervention","not set","","","","","","HAZ-002","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"","","Biomed / service tech","Entity","Implements a safety stop, interlock or limit","","","No security threat raised by the model","Holds the credentials that can change dose limits and disable interlocks.","","Catastrophic — patient death","not set","","","","","","HAZ-009","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-014","T-51","Hospital gateway","Process","Controls or actuates therapy / diagnosis","S","Spoofing","Therapy commands to Hospital gateway are not proven to come from a legitimate source","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","Unintended therapy is delivered to the patient — wrong dose, wrong rate, wrong energy, or delivery to the wrong patient.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Authenticate every command source cryptographically (mutual TLS, signed commands); network position is not identity. | Bind commands to a session, a patient context and a monotonic sequence number so replayed or injected commands are rejected. | Require confirmation at the device for changes that increase delivered therapy.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-015","T-52","Hospital gateway","Process","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Hospital gateway can be altered without detection","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-016","T-53","Hospital gateway","Process","Controls or actuates therapy / diagnosis","E","Elevation of privilege","Therapy control functions in Hospital gateway are reachable without a clinical authorisation decision","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","Someone with no clinical authority, or malware acting as them, changes the therapy a patient is receiving.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Separate therapy-control operations behind their own authorisation, deny by default, and require a clinical role. | Require step-up authentication or a second person for high-consequence changes. | Log every therapy-control call with the authenticated identity and the resulting parameter change.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-017","T-54","Hospital gateway","Process","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of Hospital gateway removes control of therapy","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-018","T-55","Hospital gateway","Process","Controls or actuates therapy / diagnosis","R","Repudiation","Therapy changes at Hospital gateway cannot be reconstructed afterwards","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","A harmful setting cannot be traced, so the same hazard recurs; incident investigation, vigilance reporting and clinical defence all fail.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Keep an append-only therapy audit trail: identity, timestamp, previous and new value, patient context and outcome. | Retain it for the period your vigilance and post-market surveillance obligations require. | Make sure the device keeps this record locally even when disconnected.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-019","T-56","Hospital gateway","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Hospital gateway can be tampered with","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-020","T-57","Hospital gateway","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Hospital gateway can be blocked, delayed or flooded","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-021","T-58","Hospital gateway","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by Hospital gateway cannot be shown to be genuine","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-022","T-59","Hospital gateway","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at Hospital gateway is not reliable evidence","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-023","T-60","Hospital gateway","Process","Needed for timely care delivery","D","Denial of service","Loss of Hospital gateway delays or prevents care","Carries auto-programming orders towards the pump and alarms away from it. A compromise here reaches every pump on the ward at once.","Treatment is delayed or diverted; in a time-critical pathway that delay is itself the harm.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Agree the maximum tolerable downtime with the clinical service and design to it. | Provide a documented, rehearsed manual fallback that does not depend on the compromised system. | Segment the device network so an outage elsewhere in the hospital cannot take clinical care down with it.","","HAZ-004, HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-024","T-63","Nurse call system","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Nurse call system can be tampered with","The remote half of the alarm path. If alarms are delayed or lost here, the bedside alarm is the only remaining barrier.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-025","T-64","Nurse call system","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Nurse call system can be blocked, delayed or flooded","The remote half of the alarm path. If alarms are delayed or lost here, the bedside alarm is the only remaining barrier.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-026","T-65","Nurse call system","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by Nurse call system cannot be shown to be genuine","The remote half of the alarm path. If alarms are delayed or lost here, the bedside alarm is the only remaining barrier.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-027","T-66","Nurse call system","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at Nurse call system is not reliable evidence","The remote half of the alarm path. If alarms are delayed or lost here, the bedside alarm is the only remaining barrier.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-028","T-67","Nurse call system","Process","Needed for timely care delivery","D","Denial of service","Loss of Nurse call system delays or prevents care","The remote half of the alarm path. If alarms are delayed or lost here, the bedside alarm is the only remaining barrier.","Treatment is delayed or diverted; in a time-critical pathway that delay is itself the harm.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Agree the maximum tolerable downtime with the clinical service and design to it. | Provide a documented, rehearsed manual fallback that does not depend on the compromised system. | Segment the device network so an outage elsewhere in the hospital cannot take clinical care down with it.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-029","T-75","Vendor fleet service","Process","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Vendor fleet service can be modified","Distributes the drug library and firmware to the whole fleet. A compromise is a fleet-wide safety event, not a single-device one.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-030","T-76","Vendor fleet service","Process","Implements a safety stop, interlock or limit","D","Denial of service","The safety stop in Vendor fleet service may not run when it is needed","Distributes the drug library and firmware to the whole fleet. A compromise is a fleet-wide safety event, not a single-device one.","The device continues in an unsafe state because the mechanism that should have stopped it never ran.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Run the safety monitor independently of the application: separate task, separate watchdog, ideally separate processor. | Give it a guaranteed execution budget that untrusted work cannot consume, and a hardware watchdog behind it. | Design the failure direction deliberately: on loss of the monitor, the device goes to the safe state rather than continuing. | Test the interlock under load and under attack conditions, not only on an idle bench.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-031","T-77","Vendor fleet service","Process","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Vendor fleet service can be altered without detection","Distributes the drug library and firmware to the whole fleet. A compromise is a fleet-wide safety event, not a single-device one.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-032","T-78","Vendor fleet service","Process","Controls or actuates therapy / diagnosis","R","Repudiation","Therapy changes at Vendor fleet service cannot be reconstructed afterwards","Distributes the drug library and firmware to the whole fleet. A compromise is a fleet-wide safety event, not a single-device one.","A harmful setting cannot be traced, so the same hazard recurs; incident investigation, vigilance reporting and clinical defence all fail.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Keep an append-only therapy audit trail: identity, timestamp, previous and new value, patient context and outcome. | Retain it for the period your vigilance and post-market surveillance obligations require. | Make sure the device keeps this record locally even when disconnected.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-033","T-85","Telemetry & event store","Data store","Produces clinical data used for decisions","T","Tampering","Clinical data at Telemetry & event store can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Telemetry & event store, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Minor — temporary injury, no professional intervention","Class A — no injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","HAZ-013","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-034","T-86","Telemetry & event store","Data store","Produces clinical data used for decisions","D","Denial of service","Clinical data from Telemetry & event store may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Telemetry & event store unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Minor — temporary injury, no professional intervention","Class A — no injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","HAZ-013","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"","","Patient","Asset","Controls or actuates therapy / diagnosis; Needed for timely care delivery","","","No security threat raised by the model","The asset every other control exists to protect.","","Catastrophic — patient death","not set","","","","","","RMF-IP-2200","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-035","T-96","Programme infusion","Data flow","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Programme infusion can be altered without detection","Dose, rate, duration, energy or programme values passing through Programme infusion can be modified — in transit, at rest, or by malformed input the code accepts — and neither the device nor the clinician can tell the value is not the one that was prescribed.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","HAZ-002","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-036","T-97","Programme infusion","Data flow","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of Programme infusion removes control of therapy","Flooding, resource exhaustion or an unavailable dependency stops Programme infusion responding. Therapy cannot be started, adjusted or — the case people forget — stopped, and the clinician may not be told that control has been lost.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","","HAZ-002","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-037","T-104","Auto-programming order","Data flow","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Auto-programming order can be altered without detection","Dose, rate, duration, energy or programme values passing through Auto-programming order can be modified — in transit, at rest, or by malformed input the code accepts — and neither the device nor the clinician can tell the value is not the one that was prescribed.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","HAZ-004","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
